item_id,raid,boss,item_name,p1,p2,p3,notes,tags
30065,Serpentshrine Cavern,The Lurker Below,Glowing Breastplate of Truth,Holy Paladin,,,"Not BiS, but usable. Better on long, sustained fights than on short burst-healing fights.","paladin, healer"
30057,Serpentshrine Cavern,The Lurker Below,Bracers of Eradication,DPS Warrior / Ret,,,Strong item for Warrior and Ret. Roughly equal if the Ret can use the hit.,"warrior, ret, melee"
30059,Serpentshrine Cavern,The Lurker Below,Choker of Animalistic Fury,DPS Warrior,Hunter,,Usable for both. Transcript leans Warrior first because Hunters may get Kael orb neck options.,"warrior, hunter, neck"
30061,Serpentshrine Cavern,The Lurker Below,Ancestral Ring of Conquest,Warrior / Ret / Feral,Prot Warrior situational,,Very good for specs that want a non-hit ring. Use only on players who can actually fit it.,"warrior, ret, feral, ring"
33054,Serpentshrine Cavern,The Lurker Below,The Seal of Danzalar,,,,,
30665,Serpentshrine Cavern,The Lurker Below,Earring of Soulful Meditation,,,,,
30063,Serpentshrine Cavern,The Lurker Below,Libram of Absolute Truth,,,,,
30058,Serpentshrine Cavern,The Lurker Below,Mallet of the Tides,,,,,
30092,Serpentshrine Cavern,Leotheras the Blind,Orca-Hide Boots,Resto Druid,Resto Shaman,Holy Paladin,"High +healing boots. Druid first, then Shaman, with Paladin last.","druid, shaman, paladin, healer"
30097,Serpentshrine Cavern,Leotheras the Blind,Coral-Barbed Shoulderpads,Resto Shaman,,,"Not BiS, but decent filler for Resto Shaman.","shaman, healer"
30091,Serpentshrine Cavern,Leotheras the Blind,True-Aim Stalker Bands,Enhancement Shaman,Hunter,,BiS for Enhancement and close for Hunter. Enhancement first because mail wrists are cleaner loot allocation.,"enhance, hunter, mail"
30096,Serpentshrine Cavern,Leotheras the Blind,Girdle of the Invulnerable,Prot Warrior,Prot Paladin,,"Transcript leans Prot Warrior first, partly because Paladin has other belt paths.","tank, warrior, paladin"
30627,Serpentshrine Cavern,Leotheras the Blind,Tsunami Talisman,Strong non-DST candidate,Feral DPS,DPS Warrior,"Awkward trinket. The guidance is to use it as compensation for players not getting DST, then Feral/Warrior.","trinket, melee, feral, warrior"
30095,Serpentshrine Cavern,Leotheras the Blind,Fang of the Leviathan,Warlock,Prot Paladin,,"Mainly Warlock or Prot Paladin. In most normal guilds, Warlock first.","warlock, prot paladin, caster"
30239,Serpentshrine Cavern,Leotheras the Blind,Gloves of the Vanquished Champion,,,,,
30240,Serpentshrine Cavern,Leotheras the Blind,Gloves of the Vanquished Defender,,,,,
30241,Serpentshrine Cavern,Leotheras the Blind,Gloves of the Vanquished Hero,,,,,
30100,Serpentshrine Cavern,Fathom-Lord Karathress,Soul-Strider Boots,,,,,
30101,Serpentshrine Cavern,Fathom-Lord Karathress,Bloodsea Brigand's Vest,,,,,
30099,Serpentshrine Cavern,Fathom-Lord Karathress,Frayed Tether of the Drowned,,,,,
30663,Serpentshrine Cavern,Fathom-Lord Karathress,Fathom-Brooch of the Tidewalker,,,,,
30626,Serpentshrine Cavern,Fathom-Lord Karathress,Sextant of Unstable Currents,,,,,
30090,Serpentshrine Cavern,Fathom-Lord Karathress,World Breaker,,,,,
30245,Serpentshrine Cavern,Fathom-Lord Karathress,Leggings of the Vanquished Champion,,,,,
30246,Serpentshrine Cavern,Fathom-Lord Karathress,Leggings of the Vanquished Defender,,,,,
30247,Serpentshrine Cavern,Fathom-Lord Karathress,Leggings of the Vanquished Hero,,,,,
30098,Serpentshrine Cavern,Morogrim Tidewalker,Razor-Scale Battlecloak,Ret Paladin,Other physical DPS,,"Ret first. After that, other physical users can take it if needed.","ret, cloak, melee"
30079,Serpentshrine Cavern,Morogrim Tidewalker,Illidari Shoulderpads,,,,,
30075,Serpentshrine Cavern,Morogrim Tidewalker,Gnarled Chestpiece of the Ancients,,,,,
30085,Serpentshrine Cavern,Morogrim Tidewalker,Mantle of the Tireless Tracker,,,,,
30068,Serpentshrine Cavern,Morogrim Tidewalker,Girdle of the Tidal Call,,,,,
30084,Serpentshrine Cavern,Morogrim Tidewalker,Pauldrons of the Argent Sentinel,,,,,
30081,Serpentshrine Cavern,Morogrim Tidewalker,Warboots of Obliteration,,,,,
30008,Serpentshrine Cavern,Morogrim Tidewalker,Pendant of the Lost Ages,,,,,
30083,Serpentshrine Cavern,Morogrim Tidewalker,Ring of Sundered Souls,,,,,
33058,Serpentshrine Cavern,Morogrim Tidewalker,Band of the Vigilant,,,,,
30720,Serpentshrine Cavern,Morogrim Tidewalker,Serpent-Coil Braid,Mage,,,Mage-only priority in the transcript. Treated as a major item.,"mage, trinket"
30082,Serpentshrine Cavern,Morogrim Tidewalker,Talon of Azshara,Rogue,DPS Warrior,,"Rogue first because it is main-hand BiS until Warglaives. Warriors want it too, but have more flexibility.","rogue, warrior, weapon"
30080,Serpentshrine Cavern,Morogrim Tidewalker,Luminescent Rod of the Naaru,,,,,
30107,Serpentshrine Cavern,Lady Vashj,Vestments of the Sea-Witch,,,,,
30111,Serpentshrine Cavern,Lady Vashj,Runetotem's Mantle,,,,,
30106,Serpentshrine Cavern,Lady Vashj,Belt of One-Hundred Deaths,,,,,
30104,Serpentshrine Cavern,Lady Vashj,Cobra-Lash Boots,,,,,
30102,Serpentshrine Cavern,Lady Vashj,Krakken-Heart Breastplate,,,,,
30112,Serpentshrine Cavern,Lady Vashj,Glorious Gauntlets of Crestfall,,,,,
30109,Serpentshrine Cavern,Lady Vashj,Ring of Endless Coils,,,,,
30110,Serpentshrine Cavern,Lady Vashj,Coral Band of the Revived,,,,,
30621,Serpentshrine Cavern,Lady Vashj,Prism of Inner Calm,,,,,
30103,Serpentshrine Cavern,Lady Vashj,Fang of Vashj,,,,,
30108,Serpentshrine Cavern,Lady Vashj,Lightfathom Scepter,Best healer,Next strongest healer,,The transcript treats this as absurdly strong for healers and recommends giving it to your best healer rather than by class.,"healer, weapon, vashj"
30105,Serpentshrine Cavern,Lady Vashj,Serpent Spine Longbow,Hunter,DPS Warrior,,Clear Hunter priority. Warrior only after Hunters.,"hunter, warrior, bow"
30242,Serpentshrine Cavern,Lady Vashj,Helm of the Vanquished Champion,,,,,
30243,Serpentshrine Cavern,Lady Vashj,Helm of the Vanquished Defender,,,,,
30244,Serpentshrine Cavern,Lady Vashj,Helm of the Vanquished Hero,,,,,
29906,Serpentshrine Cavern,Lady Vashj,Vashj's Vial Remnant,,,,,
30027,Serpentshrine Cavern,Trash,Boots of Courage Unending,,,,,
30022,Serpentshrine Cavern,Trash,Pendant of the Perilous,DPS Warrior,Ret Paladin,Enhancement Shaman,Warrior first because they benefit more from the crit. Ret has closer alternatives. Enhance can use it if their best neck is hard to get.,"melee, warrior, ret, enhance"
30620,Serpentshrine Cavern,Trash,Spyglass of the Hidden Fleet,Any tank missing eng trinket,,,Mostly a fallback stamina trinket. Best used by a tank who lacks stronger engineering options.,"tank, bear, warrior, paladin"
30023,Serpentshrine Cavern,Trash,Totem of the Maelstrom,,,,,
30021,Serpentshrine Cavern,Trash,Wildfury Greatstaff,Bear Tank,Feral Cat,,Primarily a mitigation option for bears. Give to Bear before Cat.,"bear, feral, tank"
30025,Serpentshrine Cavern,Trash,Serpentshrine Shuriken,,,,,
30324,Serpentshrine Cavern,Trash,Plans: Red Havoc Boots,,,,,
30322,Serpentshrine Cavern,Trash,Plans: Red Belt of Battle,,,,,
30323,Serpentshrine Cavern,Trash,Plans: Boots of the Protector,,,,,
30321,Serpentshrine Cavern,Trash,Plans: Belt of the Guardian,,,,,
30280,Serpentshrine Cavern,Trash,Pattern: Belt of Blasting,,,,,
30282,Serpentshrine Cavern,Trash,Pattern: Boots of Blasting,,,,,
30283,Serpentshrine Cavern,Trash,Pattern: Boots of the Long Road,,,,,
30281,Serpentshrine Cavern,Trash,Pattern: Belt of the Long Road,,,,,
30308,Serpentshrine Cavern,Trash,Pattern: Hurricane Boots,,,,,
30304,Serpentshrine Cavern,Trash,Pattern: Monsoon Belt,,,,,
30305,Serpentshrine Cavern,Trash,Pattern: Boots of Natural Grace,,,,,
30307,Serpentshrine Cavern,Trash,Pattern: Boots of the Crimson Hawk,,,,,
30306,Serpentshrine Cavern,Trash,Pattern: Boots of Utter Darkness,,,,,
30301,Serpentshrine Cavern,Trash,Pattern: Belt of Natural Power,,,,,
30303,Serpentshrine Cavern,Trash,Pattern: Belt of the Black Eagle,,,,,
30302,Serpentshrine Cavern,Trash,Pattern: Belt of Deep Shadow,,,,,
30183,Serpentshrine Cavern,Trash,Nether Vortex,,,,,
32897,Serpentshrine Cavern,Trash,Mark of the Illidari,,,,,
29925,Tempest Keep: The Eye,Al'ar,Phoenix-Wing Cloak,,,,,
29918,Tempest Keep: The Eye,Al'ar,Mindstorm Wristbands,,,,,
29947,Tempest Keep: The Eye,Al'ar,Gloves of the Searing Grip,,,,,
29921,Tempest Keep: The Eye,Al'ar,Fire Crest Breastplate,,,,,
29922,Tempest Keep: The Eye,Al'ar,Band of Al'ar,,,,,
29920,Tempest Keep: The Eye,Al'ar,Phoenix-Ring of Rebirth,,,,,
30448,Tempest Keep: The Eye,Al'ar,Talon of Al'ar,,,,,
30447,Tempest Keep: The Eye,Al'ar,Tome of Fiery Redemption,,,,,
29923,Tempest Keep: The Eye,Al'ar,Talisman of the Sun King,,,,,
32944,Tempest Keep: The Eye,Al'ar,Talon of the Phoenix,,,,,
29948,Tempest Keep: The Eye,Al'ar,Claw of the Phoenix,,,,,
29924,Tempest Keep: The Eye,Al'ar,Netherbane,,,,,
29949,Tempest Keep: The Eye,Al'ar,Arcanite Steam-Pistol,,,,,
29986,Tempest Keep: The Eye,Void Reaver,Cowl of the Grand Engineer,,,,,
29984,Tempest Keep: The Eye,Void Reaver,Girdle of Zaetar,,,,,
29985,Tempest Keep: The Eye,Void Reaver,Void Reaver Greaves,,,,,
29983,Tempest Keep: The Eye,Void Reaver,Fel-Steel Warhelm,,,,,
32515,Tempest Keep: The Eye,Void Reaver,Wristguards of Determination,,,,,
30619,Tempest Keep: The Eye,Void Reaver,Fel Reaver's Piston,,,,,
30450,Tempest Keep: The Eye,Void Reaver,Warp-Spring Coil,,,,,
30248,Tempest Keep: The Eye,Void Reaver,Pauldrons of the Vanquished Champion,,,,,
30249,Tempest Keep: The Eye,Void Reaver,Pauldrons of the Vanquished Defender,,,,,
30250,Tempest Keep: The Eye,Void Reaver,Pauldrons of the Vanquished Hero,,,,,
29977,Tempest Keep: The Eye,High Astromancer Solarian,Star-Soul Breeches,Resto Druid / Holy Priest,,,"Not BiS, but the spirit is attractive for longer fights. Druid or healing Priest.","solarian, druid, priest, healer"
29972,Tempest Keep: The Eye,High Astromancer Solarian,Trousers of the Astromancer,Biggest upgrade,,,Not BiS. Just assign by biggest caster upgrade.,"solarian, caster, legs"
29966,Tempest Keep: The Eye,High Astromancer Solarian,Vambraces of Ending,Rogue / Feral Cat,Survival Hunter,Hunter / Enhancement Shaman,"Rogue and Feral benefit most. Then Survival Hunter, then Hunter/Enhance. Give the leather classes first because they have fewer equivalent options.","solarian, rogue, feral, hunter, enhance"
29976,Tempest Keep: The Eye,High Astromancer Solarian,Worldstorm Gauntlets,,,,,
29951,Tempest Keep: The Eye,High Astromancer Solarian,Star-Strider Boots,Ret Paladin,Whoever else wants them,,"A very sensible Ret Paladin item because no one else really cares much, and Ret has multiple roughly equal boot options.","solarian, ret paladin, boots"
29965,Tempest Keep: The Eye,High Astromancer Solarian,Girdle of the Righteous Path,Holy Paladin,,,Holy Paladin. Straightforward.,"solarian, holy paladin, belt"
29950,Tempest Keep: The Eye,High Astromancer Solarian,Greaves of the Bloodwarder,DPS Warrior,Ret Paladin,,Very good and one reason Warriors are not desperate for every Kael leg option. Warrior before Ret.,"alar, warrior, ret, legs"
32267,Tempest Keep: The Eye,High Astromancer Solarian,Boots of the Resilient,Prot Paladin,Prot Warrior,,"Prot Paladin first, then Warrior.","alar, tank, paladin, warrior"
30446,Tempest Keep: The Eye,High Astromancer Solarian,Solarian's Sapphire,Prot Warrior,Whoever wants the utility,,Mostly a meme or utility pick. Maybe useful for a Warrior in a niche group setup.,"alar, warrior, trinket"
30449,Tempest Keep: The Eye,High Astromancer Solarian,Void Star Talisman,Warlock,,,"Not especially clear-cut, but the transcript points it toward a Warlock who wants it.","alar, warlock, trinket"
29962,Tempest Keep: The Eye,High Astromancer Solarian,Heartrazor,Rogue,,,Primarily a dagger Rogue / PvP item.,"alar, rogue, dagger"
29981,Tempest Keep: The Eye,High Astromancer Solarian,Ethereum Life-Staff,Resto Druid / Holy Priest,,,Not genuinely strong. More of a high-spirit filler staff for Druid or Priest if they lack a better healing weapon.,"alar, druid, priest, healer"
29982,Tempest Keep: The Eye,High Astromancer Solarian,Wand of the Forgotten Star,Warlock,Shadow Priest,Mage,"Very strong for Warlock, then Shadow Priest. Mages are last because they prefer the Magtheridon wand due to intellect.","alar, warlock, shadow priest, mage, wand"
29992,Tempest Keep: The Eye,Kael'thas Sunstrider,Royal Cloak of the Sunstriders,Prot Paladin / Shadow Priest,,,"BiS for Prot Paladin and Shadow Priest. If the Prot Paladin can fit it into a threat setup, it is excellent there; otherwise Shadow Priest.","kael, prot paladin, shadow priest, cloak"
29989,Tempest Keep: The Eye,Kael'thas Sunstrider,Sunshower Light Cloak,Priest or Druid not getting the mace,Next spirit healer,,One of the strongest healer pieces besides the mace. Great consolation prize for a spirit healer not receiving the Kael mace.,"kael, healer, priest, druid, cloak"
29994,Tempest Keep: The Eye,Kael'thas Sunstrider,Thalassian Wildercloak,Hunter,Enhancement Shaman / Feral Cat,,"BiS for Hunter, also very good for Enhance and Feral, but Hunter has the hardest time solving hit here. Hunter first.","kael, hunter, enhance, feral, cloak"
29990,Tempest Keep: The Eye,Kael'thas Sunstrider,Crown of the Sun,Resto Druid / Holy Priest,,,"A useful tie-over helm for Druid or Priest, and one reason some Druids can afford to be lower on tier helm priority.","kael, druid, priest, helm"
29987,Tempest Keep: The Eye,Kael'thas Sunstrider,Gauntlets of the Sun King,Arcane Mage,Biggest upgrade only if unusable immediately,,The Arcane Mage offset piece. Helps avoid wasting the Vashj chest on a Mage.,"kael, arcane mage, gloves"
29995,Tempest Keep: The Eye,Kael'thas Sunstrider,Leggings of Murderous Intent,Hunter,DPS Warrior,Ret Paladin,"Hunter first, then Warrior, then Ret. Survival can skip these and stay on tier legs.","kael, hunter, warrior, ret, legs"
29991,Tempest Keep: The Eye,Kael'thas Sunstrider,Sunhawk Leggings,Resto Shaman,Holy Paladin,,"BiS for Resto Shaman and good for Holy Paladin, but better for Resto Shaman first.","kael, resto shaman, holy paladin, legs"
29998,Tempest Keep: The Eye,Kael'thas Sunstrider,Royal Gauntlets of Silvermoon,Prot Warrior,Prot Paladin,,"Extremely strong mitigation gloves, especially for Prot Warrior. Prot Warrior before Prot Paladin.","kael, prot warrior, prot paladin, gloves"
29997,Tempest Keep: The Eye,Kael'thas Sunstrider,Band of the Ranger-General,DPS Warrior / Enhancement Shaman,Rogue,Ret Paladin,"The non-agility users' ring. Warrior and Enhance first, then Rogue, then Ret if hit is needed. Hunters are specifically de-prioritised.","kael, warrior, enhance, rogue, ret, ring"
29993,Tempest Keep: The Eye,Kael'thas Sunstrider,Twinblade of the Phoenix,Ret Paladin / Arms Warrior,Hunter situational,,"Equal priority between Ret and Arms. After that, a Hunter can take it for PvP or fantasy melee-weaving dreams.","kael, ret, arms, 2h"
29996,Tempest Keep: The Eye,Kael'thas Sunstrider,Rod of the Sun King,Enhancement Shaman,Fury Warrior,,"Best in slot for Enhancement, near-BiS for Fury depending on Talon pairing. Enhancement first.","kael, enhance, fury, weapon"
29988,Tempest Keep: The Eye,Kael'thas Sunstrider,The Nexus Key,,,,,
30236,Tempest Keep: The Eye,Kael'thas Sunstrider,Chestguard of the Vanquished Champion,,,,,
30237,Tempest Keep: The Eye,Kael'thas Sunstrider,Chestguard of the Vanquished Defender,,,,,
30238,Tempest Keep: The Eye,Kael'thas Sunstrider,Chestguard of the Vanquished Hero,,,,,
32458,Tempest Keep: The Eye,Kael'thas Sunstrider,Ashes of Al'ar,,,,,
32405,Tempest Keep: The Eye,Kael'thas Sunstrider,Verdant Sphere,,,,,
29905,Tempest Keep: The Eye,Kael'thas Sunstrider,Kael's Vial Remnant,,,,,
